team,season,wins,losses,ortg,drtg,nrtg,pace,ts_pct,efg_pct,tov_pct,orb_pct,sos,srs,wins_lag1,ortg_lag1,drtg_lag1,wins_lag2,ortg_lag2,drtg_lag2,wins_lag3,ortg_lag3,drtg_lag3,wins_trend_1yr,wins_trend_2yr,target_next_wins,target_next_ortg,target_next_drtg,is_training
PHX,2020-21,51.0,21.0,117.2,111.3,5.9,97.2,0.597,0.564,11.5,20.8,-0.15,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,114.8,107.3,True
PHX,2021-22,64.0,18.0,114.8,107.3,7.5,99.8,0.581,0.549,11.6,22.3,-0.56,6.94,51.0,117.2,111.3,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,45.0,115.1,113.0,True
PHX,2022-23,45.0,37.0,115.1,113.0,2.1,98.2,0.57,0.535,12.0,26.6,0.01,2.08,64.0,114.8,107.3,51.0,117.2,111.3,0.0,0.0,0.0,-19.0,-6.0,49.0,117.6,114.6,True
PHX,2023-24,49.0,33.0,117.6,114.6,3.0,98.3,0.603,0.565,13.4,25.0,0.02,3.08,45.0,115.1,113.0,64.0,114.8,107.3,51.0,117.2,111.3,4.0,-15.0,36.0,116.2,119.3,True
PHX,2024-25,36.0,46.0,116.2,119.3,-3.1,97.1,0.595,0.561,12.8,22.6,0.45,-2.55,49.0,117.6,114.6,45.0,115.1,113.0,64.0,114.8,107.3,-13.0,-9.0,0.0,0.0,0.0,False
POR,2020-21,42.0,30.0,117.8,116.0,1.8,98.4,0.577,0.54,9.9,23.0,0.01,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,107.8,116.9,True
POR,2021-22,27.0,55.0,107.8,116.9,-9.1,98.3,0.55,0.515,13.0,22.9,0.33,-8.55,42.0,117.8,116.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,33.0,114.8,118.8,True
POR,2022-23,33.0,49.0,114.8,118.8,-4.0,98.6,0.589,0.549,13.1,22.4,0.05,-3.96,27.0,107.8,116.9,42.0,117.8,116.0,0.0,0.0,0.0,6.0,-9.0,21.0,108.3,117.5,True
POR,2023-24,21.0,61.0,108.3,117.5,-9.2,97.2,0.539,0.503,13.4,27.5,0.74,-8.29,33.0,114.8,118.8,27.0,107.8,116.9,42.0,117.8,116.0,-12.0,-6.0,36.0,111.7,114.7,True
POR,2024-25,36.0,46.0,111.7,114.7,-3.0,98.8,0.555,0.521,13.8,29.2,0.31,-2.67,21.0,108.3,117.5,33.0,114.8,118.8,27.0,107.8,116.9,15.0,3.0,0.0,0.0,0.0,False
SAC,2020-21,31.0,41.0,113.6,117.2,-3.6,100.0,0.578,0.549,12.0,21.3,0.23,-3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,109.9,115.3,True
SAC,2021-22,30.0,52.0,109.9,115.3,-5.4,99.8,0.561,0.525,12.5,21.3,0.2,-5.26,31.0,113.6,117.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,48.0,119.4,116.8,True
SAC,2022-23,48.0,34.0,119.4,116.8,2.6,100.3,0.608,0.572,12.0,22.7,-0.35,2.3,30.0,109.9,115.3,31.0,113.6,117.2,0.0,0.0,0.0,18.0,17.0,46.0,116.9,115.2,True
SAC,2023-24,46.0,36.0,116.9,115.2,1.7,98.8,0.582,0.556,11.6,24.5,0.55,2.29,48.0,119.4,116.8,30.0,109.9,115.3,31.0,113.6,117.2,-2.0,16.0,40.0,116.7,116.2,True
SAC,2024-25,40.0,42.0,116.7,116.2,0.5,98.2,0.582,0.548,11.8,25.4,0.11,0.58,46.0,116.9,115.2,48.0,119.4,116.8,30.0,109.9,115.3,-6.0,-8.0,0.0,0.0,0.0,False
SAS,2020-21,33.0,39.0,111.0,112.8,-1.8,98.9,0.554,0.517,10.2,20.0,0.15,-1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,112.4,112.3,True
SAS,2021-22,34.0,48.0,112.4,112.3,0.1,100.0,0.556,0.527,11.1,23.7,-0.1,0.02,33.0,111.0,112.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,110.2,120.0,True
